1 Section 01-17
(424)territory	領土
(425)hold out	持ちこたえる
(425)not ... any longer	(副)これ以上...ない
(425)surrender (to ...)	(...に)降伏する
(426)hostage	人質
(427)deprive A of B	(動)AからBを剥奪する
(427)reign	支配
(427)tyranny	専制政治
(428)be reluctant to do	doすることに気が進まない
(429)be bound to do	きっとdoする
(429)collapse	(動)崩壊する
(429)regime	政権
(430)ally	同盟国
(430)condemn ...	...を厳しく非難する
(430)invasion	侵略
(430)resolution	決議
(430)violation	違反
(431)civil war	内戦、内乱
(431)rule ... out	...を排除する
(432)colony	植民地
(432)declare ...	...を宣言する
(432)republic	共和国
(433)erect ...	...を建てる
(433)immense	巨大な、莫大な
(433)in honor of ...	...に敬意を表して
(433)monument	記念碑
(433)noble	崇高な、高潔な
(433)patriot	愛国者
(434)deceased	故人(たち)
(435)imperial	帝国の、天皇の
(435)palace	宮殿
(436)abortion	妊娠中絶
(436)pro-choice	(形)中絶(合法化に)賛成の
(437)bitter	激しい
(437)controversy	論争、議論
(437)senator	上院議員
(438)cope (with ...)	(...に)うまく対処する
(438)no longer...	(副)もはや...ない
(439)broadcast (...)	(...を)放送する
(439)simultaneously	同時に
(439)throughout the world	(副)世界中で
(440)dialogue	対話
(440)diplomatic	外交(上)の...
(440)help (to) do	doするのに役立つ
(440)put an end to ...	(動)...に終止符を打つ
(441)appoint ...	...を任命する
(441)foster ...	...を育む
(441)goodwill	親善、友好
(441)mutual	相互の
(442)build up	高まる
(442)tension	緊張
(443)nothing but ...	(定)...に過ぎない
(444)ethnic	(形)民族の
(444)oppression	抑圧
(444)poverty	貧困
(444)struggle	必死に戦う
(445)discrimination	差別
(445)do away with ...	...を捨てる
(447)amendment	改正案
(447)racial ...	人種の...
(448)long for ...	...を切望する
(448)refugee	難民


6 Section 37-40
(449)be indifferent to ...	...に無関心である
(450)treaty	条約
(450)What will become of ...?	(定)...はどうなってしまうのだろう?
(450)expire	期限切れになる
(451)eliminate ...	...を取り除く
(451)impose ... (on A)	(Aに)..を課す
(451)sanction	制裁
(451)tariff	関税
(452)trade	貿易
(452)at any moment	(副)今にも
(453)dispute	論争、紛争
(453)meet ... halfway	...と妥協する
(454)congress	議会
(454)federal	連邦政府の
(454)narrowly	(副)かろうじて
(455)administration	政府、政権
(455)alternative...	代わりの...
(455)argue (that ~)	(~だと)主張する
(455)revenue	歳入
(456)be in favor of ...	(動)...を支持する
(456)poll	世論調査
(456)legislation	法律
(456)majority	(名)過半数、大多数
(456)overwhelming	圧倒的な
(457)brutal	残虐な
(458)insane	狂気の、正気ではない
(458)vice	悪いこと
(458)virtue	正しいこと
(459)correspond (to/with ...)	(...に)一致する
(460)accuse ... (of A)	(Aの理由で)...を訴える
(460)kidnapping	誘拐
(460)noted	有名な、著名な
(461)jury	陪審団
(461)give rise to ...	...を引き起こす
(461)verdict	評決
(461)widespread	(形)広範囲にわたる
(462)mercy	慈悲、情状酌量
(462)plead (with ...) (for A)	(...に)(Aを)請願する
(462)sentence ... (to A)	...に(Aという)判決を下す
(463)come up	近づいてくる
(463)elderly	(形)お年寄りの
(463)perceive ...	(動)...に気付く
(464)catch sight of ...	...をちらっと見かける
(465)witness ...	...を目撃する
(465)weird	奇妙な
(465)wilderness	原野
(466)in sight	(副)視界に
(466)stare (at ...)	(...を)じっと見つめる
(468)relief	安堵
(469)penetrate (...)	(...を)突き抜ける
(470)deliberately	故意に
(471)burn down	全焼する
(472)warehouse	倉庫、貯蔵庫
(472)all of a sudden	(副)突然
(472)blaze	激しい炎
(472)put ... out	...を消す
(473)go off	爆発する
(473)wounded	(形)負傷した
(474)Mediterranean	地中海
(474)cargo	(名)貨物
(474)trace	跡、形跡
(474)vessel	船舶
(475)reckless	無謀な
(475)... to death	(副)...の結果死ぬ
(475)Antarctic	南極(地方)
(475)expedition	探検旅行
(476)so as to do	(副)doするために
(476)tragedy	(名)悲劇的な出来事
(477)insight (into ...)	(名)(...に対する)洞察、深い理解力
(477)profound	(形)(意味・教養などが)深い
(478)seed	種、きっかけ
(478)sow (...)	...をまく、種をまく
(478)credit A with[for] B	BをAの実績として認める
(479)mount ...	...を載せる
(480)Middle Ages	中世(西洋史1100-1500年頃)
(480)cathedral	大聖堂
(480)magnificent	(形)荘厳な
(481)sculpture	彫刻作品
(481)splendid	素晴らしい
(483)masterpiece	傑作
(485)be fluent in ...	...を流暢に話す
(485)linguist	言語学者
(486)tribe	(名)部族
(486)worship (...)	(...を)崇拝する
(487)anthropologist	人類学者
(487)prevail	(動)広く行われている
(488)wicked	意地の悪い
(488)cast a spell (on ...)	(...に)呪文[魔法]をかける
(489)steep	傾斜が急な
(489)sole	唯一の
(490)ape	猿、類人猿
(490)emerge	現れる
(490)frighten ...	...をおびえさせる
(491)vanish	消える


7 Section 41-45
(493)it won't be long before ~	~するまでもうすぐだ
(494)outfit	服装、衣装
(494)stand out	(動)目立つ、際立つ
(495)touch ...	...を感動させる
